strike,type,last_price,iv,expiry,expiry_dt,time_to_expiry,bs_price
22600,call,1958.9,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2095.332914929375
22600,put,4.6,0.20679999999999998,28-Aug-2025,2025-08-28,0.051587301587301584,12.46092816074929
22650,call,1914.55,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2045.4745789419394
22650,put,5.0,0.2048,28-Aug-2025,2025-08-28,0.051587301587301584,13.31483085678667
22700,call,1861.15,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1995.6162429545038
22700,put,4.9,0.1997,28-Aug-2025,2025-08-28,0.051587301587301584,13.03172333857924
22750,call,1813.65,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1945.7579069670683
22750,put,5.75,0.1997,28-Aug-2025,2025-08-28,0.051587301587301584,14.762429236104254
22800,call,1892.35,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1895.8995709796327
22800,put,5.7,0.1949,28-Aug-2025,2025-08-28,0.051587301587301584,14.603681911133776
22850,call,1712.95,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1846.0412349921971
22850,put,6.1,0.1923,28-Aug-2025,2025-08-28,0.051587301587301584,15.387176071790122
22900,call,1665.3,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1796.1828990047616
22900,put,6.25,0.1884,28-Aug-2025,2025-08-28,0.051587301587301584,15.635024059818534
22950,call,1619.3,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1746.3245630173296
22950,put,7.05,0.18719999999999998,28-Aug-2025,2025-08-28,0.051587301587301584,17.16990250637889
23000,call,1675.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1696.466227029894
23000,put,6.85,0.1816,28-Aug-2025,2025-08-28,0.051587301587301584,16.651157256635315
23050,call,1668.35,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1646.6078910424585
23050,put,7.75,0.1805,28-Aug-2025,2025-08-28,0.051587301587301584,18.3784742681637
23100,call,1632.8,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1596.749555055023
23100,put,8.1,0.1764,28-Aug-2025,2025-08-28,0.051587301587301584,18.63916160252097
23150,call,1545.75,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1546.8912190675874
23150,put,8.2,0.1725,28-Aug-2025,2025-08-28,0.051587301587301584,19.02624202554739
23200,call,1489.9,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1497.0328830801518
23200,put,9.3,0.17129999999999998,28-Aug-2025,2025-08-28,0.051587301587301584,20.99913892223026
23250,call,1453.4,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1447.1745470927162
23250,put,9.95,0.1684,28-Aug-2025,2025-08-28,0.051587301587301584,22.10277321875992
23300,call,1396.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1397.3162111052843
23300,put,10.65,0.1654,28-Aug-2025,2025-08-28,0.051587301587301584,23.225186710260004
23350,call,1390.05,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1347.4578751178487
23350,put,11.0,0.16140000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,23.759924257864668
23400,call,1289.6,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1297.5995391304132
23400,put,12.3,0.15960000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,25.87729091211213
23450,call,1288.45,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1247.7412031429776
23450,put,13.45,0.1572,28-Aug-2025,2025-08-28,0.051587301587301584,27.739868003274978
23500,call,1185.65,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1197.882867155542
23500,put,14.05,0.1534,28-Aug-2025,2025-08-28,0.051587301587301584,28.660252393935707
23550,call,1149.25,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1148.0245311681065
23550,put,15.9,0.1518,28-Aug-2025,2025-08-28,0.051587301587301584,31.466192533846197
23600,call,1125.9,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1098.1661951806745
23600,put,17.2,0.14859999999999998,28-Aug-2025,2025-08-28,0.051587301587301584,33.135329305135656
23650,call,1089.75,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1048.307859193239
23650,put,19.2,0.146,28-Aug-2025,2025-08-28,0.051587301587301584,35.498544764438975
23700,call,1005.3,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,998.4495232058034
23700,put,20.95,0.1442,28-Aug-2025,2025-08-28,0.051587301587301584,38.86072849635093
23750,call,954.9,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,948.5911872183678
23750,put,22.85,0.14150000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,41.617315290701754
23800,call,900.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,898.7328512309323
23800,put,26.0,0.14,28-Aug-2025,2025-08-28,0.051587301587301584,45.94907973263207
23850,call,886.3,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,848.8745152434967
23850,put,28.7,0.1376,28-Aug-2025,2025-08-28,0.051587301587301584,49.665828822707226
23900,call,811.1,0.0837,28-Aug-2025,2025-08-28,0.051587301587301584,806.7534552704383
23900,put,31.9,0.1354,28-Aug-2025,2025-08-28,0.051587301587301584,53.98667380870029
23950,call,772.0,0.1048,28-Aug-2025,2025-08-28,0.051587301587301584,775.5745713225115
23950,put,34.95,0.1326,28-Aug-2025,2025-08-28,0.051587301587301584,57.94938467655311
24000,call,712.0,0.0766,28-Aug-2025,2025-08-28,0.051587301587301584,707.9033696774677
24000,put,39.0,0.1309,28-Aug-2025,2025-08-28,0.051587301587301584,63.803606234152085
24050,call,674.0,0.0962,28-Aug-2025,2025-08-28,0.051587301587301584,677.859678132274
24050,put,44.55,0.1292,28-Aug-2025,2025-08-28,0.051587301587301584,70.24858230889367
24100,call,625.95,0.09300000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,630.4407366978667
24100,put,50.0,0.1272,28-Aug-2025,2025-08-28,0.051587301587301584,76.88002245430562
24150,call,585.0,0.09759999999999999,28-Aug-2025,2025-08-28,0.051587301587301584,593.1676432977183
24150,put,56.55,0.1257,28-Aug-2025,2025-08-28,0.051587301587301584,84.97633299073368
24200,call,537.35,0.0935,28-Aug-2025,2025-08-28,0.051587301587301584,545.9149936233844
24200,put,63.95,0.1244,28-Aug-2025,2025-08-28,0.051587301587301584,94.21485503622353
24250,call,499.2,0.0975,28-Aug-2025,2025-08-28,0.051587301587301584,511.31820572581273
24250,put,72.8,0.1215,28-Aug-2025,2025-08-28,0.051587301587301584,101.51787063606844
24300,call,459.55,0.09849999999999999,28-Aug-2025,2025-08-28,0.051587301587301584,474.07933650200357
24300,put,81.25,0.1207,28-Aug-2025,2025-08-28,0.051587301587301584,113.42942817524272
24350,call,416.5,0.0959,28-Aug-2025,2025-08-28,0.051587301587301584,432.01416406990757
24350,put,90.5,0.1186,28-Aug-2025,2025-08-28,0.051587301587301584,123.96296794531918
24400,call,381.0,0.09759999999999999,28-Aug-2025,2025-08-28,0.051587301587301584,399.06618863647236
24400,put,103.4,0.11789999999999999,28-Aug-2025,2025-08-28,0.051587301587301584,138.2991979658218
24450,call,342.8,0.09630000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,362.0670901316662
24450,put,118.25,0.1165,28-Aug-2025,2025-08-28,0.051587301587301584,152.47162512418072
24500,call,308.0,0.0968,28-Aug-2025,2025-08-28,0.051587301587301584,330.24792943553985
24500,put,133.85,0.1162,28-Aug-2025,2025-08-28,0.051587301587301584,170.23383727458713
24550,call,278.0,0.0969,28-Aug-2025,2025-08-28,0.051587301587301584,299.37555953385163
24550,put,152.8,0.115,28-Aug-2025,2025-08-28,0.051587301587301584,187.48748513163446
24600,call,245.45,0.0956,28-Aug-2025,2025-08-28,0.051587301587301584,267.22563589854144
24600,put,170.0,0.11349999999999999,28-Aug-2025,2025-08-28,0.051587301587301584,205.49517097825446
24650,call,213.95,0.0971,28-Aug-2025,2025-08-28,0.051587301587301584,243.0163517093315
24650,put,187.0,0.1125,28-Aug-2025,2025-08-28,0.051587301587301584,226.07652931316625
24700,call,188.45,0.0951,28-Aug-2025,2025-08-28,0.051587301587301584,212.8831658298568
24700,put,214.0,0.1121,28-Aug-2025,2025-08-28,0.051587301587301584,249.53843249848433
24750,call,168.0,0.09539999999999998,28-Aug-2025,2025-08-28,0.051587301587301584,189.7187266654728
24750,put,237.0,0.1125,28-Aug-2025,2025-08-28,0.051587301587301584,276.3605083921757
24800,call,143.0,0.0959,28-Aug-2025,2025-08-28,0.051587301587301584,168.82779271330764
24800,put,271.05,0.1133,28-Aug-2025,2025-08-28,0.051587301587301584,305.62279954462974
24850,call,124.5,0.0962,28-Aug-2025,2025-08-28,0.051587301587301584,149.27661495122265
24850,put,297.55,0.1149,28-Aug-2025,2025-08-28,0.051587301587301584,338.12567915687214
24900,call,107.2,0.0959,28-Aug-2025,2025-08-28,0.051587301587301584,130.1946586493832
24900,put,330.9,0.1142,28-Aug-2025,2025-08-28,0.051587301587301584,367.0853000021398
24950,call,90.0,0.0958,28-Aug-2025,2025-08-28,0.051587301587301584,113.2633157489754
24950,put,358.4,0.1134,28-Aug-2025,2025-08-28,0.051587301587301584,397.3676675618917
25000,call,76.0,0.0969,28-Aug-2025,2025-08-28,0.051587301587301584,100.3037303406636
25000,put,398.0,0.1166,28-Aug-2025,2025-08-28,0.051587301587301584,437.24784793322397
25050,call,65.25,0.0969,28-Aug-2025,2025-08-28,0.051587301587301584,86.66932522018669
25050,put,435.9,0.11800000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,474.5458284327251
25100,call,55.45,0.098,28-Aug-2025,2025-08-28,0.051587301587301584,76.40156039780686
25100,put,475.0,0.1195,28-Aug-2025,2025-08-28,0.051587301587301584,513.1164169093936
25150,call,47.25,0.0987,28-Aug-2025,2025-08-28,0.051587301587301584,66.61298398809959
25150,put,508.1,0.11599999999999999,28-Aug-2025,2025-08-28,0.051587301587301584,543.6749141617292
25200,call,39.15,0.099,28-Aug-2025,2025-08-28,0.051587301587301584,57.32741789296779
25200,put,558.7,0.124,28-Aug-2025,2025-08-28,0.051587301587301584,595.7693749723221
25250,call,33.45,0.1001,28-Aug-2025,2025-08-28,0.051587301587301584,50.27033190549082
25250,put,598.8,0.124,28-Aug-2025,2025-08-28,0.051587301587301584,634.4609243862906
25300,call,27.55,0.10099999999999999,28-Aug-2025,2025-08-28,0.051587301587301584,43.782875204663924
25300,put,646.5,0.1293,28-Aug-2025,2025-08-28,0.051587301587301584,682.6357927684876
25350,call,24.25,0.1026,28-Aug-2025,2025-08-28,0.051587301587301584,38.92824232315934
25350,put,683.05,0.12480000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,716.0320561280205
25400,call,20.7,0.10310000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,33.41010906750762
25400,put,741.5,0.1388,28-Aug-2025,2025-08-28,0.051587301587301584,778.0355610222978
25450,call,17.25,0.10460000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,29.617342567811647
25450,put,780.85,0.13570000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,814.6922724071665
25500,call,14.85,0.10640000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,26.56314044811961
25500,put,832.55,0.1437,28-Aug-2025,2025-08-28,0.051587301587301584,867.7973045270883
25550,call,12.6,0.1074,28-Aug-2025,2025-08-28,0.051587301587301584,23.163091111032372
25550,put,885.0,0.1523,28-Aug-2025,2025-08-28,0.051587301587301584,921.7747810119436
25600,call,10.65,0.1092,28-Aug-2025,2025-08-28,0.051587301587301584,20.82754849208436
25600,put,931.0,0.15460000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,967.0742947836334
25650,call,9.1,0.1099,28-Aug-2025,2025-08-28,0.051587301587301584,17.951705372033985
25650,put,938.2,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,946.0255803041618
25700,call,8.05,0.11220000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,16.519930936940682
25700,put,1016.3,0.1502,28-Aug-2025,2025-08-28,0.051587301587301584,1047.8517950290407
25750,call,7.4,0.11470000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,15.36930578137708
25750,put,1203.9,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1045.742252279033
25800,call,6.4,0.1162,28-Aug-2025,2025-08-28,0.051587301587301584,13.744975505411048
25800,put,1112.75,0.1568,28-Aug-2025,2025-08-28,0.051587301587301584,1143.6662828699082
25850,call,5.9,0.1188,28-Aug-2025,2025-08-28,0.051587301587301584,12.907320014742936
25850,put,1218.15,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1145.4589242539041
25900,call,4.85,0.1199,28-Aug-2025,2025-08-28,0.051587301587301584,11.383613461346613
25900,put,1200.85,0.14880000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,1226.4237517741858
25950,call,4.7,0.12279999999999999,28-Aug-2025,2025-08-28,0.051587301587301584,10.885763914747145
25950,put,1237.05,0.11470000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,1252.578470931785
26000,call,4.25,0.1249,28-Aug-2025,2025-08-28,0.051587301587301584,10.072445967812541
26000,put,1320.0,0.1887,28-Aug-2025,2025-08-28,0.051587301587301584,1356.3412794747928
26050,call,3.8,0.1268,28-Aug-2025,2025-08-28,0.051587301587301584,9.255751217712714
26050,put,1313.05,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1344.8922682036427
26100,call,3.7,0.1303,28-Aug-2025,2025-08-28,0.051587301587301584,9.156733431969542
26100,put,1415.0,0.1928,28-Aug-2025,2025-08-28,0.051587301587301584,1449.919985772005
26150,call,3.85,0.1349,28-Aug-2025,2025-08-28,0.051587301587301584,9.513377116854258
26150,put,1460.7,0.1916,28-Aug-2025,2025-08-28,0.051587301587301584,1493.7896351623021
26200,call,2.9,0.1338,28-Aug-2025,2025-08-28,0.051587301587301584,7.709863883991034
26200,put,1495.05,0.1663,28-Aug-2025,2025-08-28,0.051587301587301584,1518.9501369435748
26250,call,3.1,0.1384,28-Aug-2025,2025-08-28,0.051587301587301584,8.06195536411451
26250,put,1512.5,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1544.3256121533814
26300,call,2.6,0.1389,28-Aug-2025,2025-08-28,0.051587301587301584,7.031827374948193
26300,put,1608.1,0.203,28-Aug-2025,2025-08-28,0.051587301587301584,1641.0555666492073
26350,call,2.45,0.14150000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,6.749536144151534
26350,put,1616.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1644.0422841282525
26400,call,2.35,0.14429999999999998,28-Aug-2025,2025-08-28,0.051587301587301584,6.548586251509846
26400,put,1666.6,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1693.900620115688
26450,call,2.4,0.1483,28-Aug-2025,2025-08-28,0.051587301587301584,6.710251733580321
26450,put,1846.2,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1743.7589561031236
26500,call,1.9,0.1471,28-Aug-2025,2025-08-28,0.051587301587301584,5.455177733017877
26500,put,1813.0,0.2318,28-Aug-2025,2025-08-28,0.051587301587301584,1850.3351940842767
26550,call,1.95,0.1516,28-Aug-2025,2025-08-28,0.051587301587301584,5.748323483692332
26550,put,1819.15,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1843.4756280779948
26600,call,1.7,0.1525,28-Aug-2025,2025-08-28,0.051587301587301584,5.151644314713394
26600,put,1860.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1893.3339640654267
26650,call,2.8,0.16570000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,7.79620642104851
26650,put,2083.25,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1943.1923000528623
26700,call,1.75,0.15990000000000001,28-Aug-2025,2025-08-28,0.051587301587301584,5.345957672042346
26700,put,1973.3,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,1993.0506360402978
26750,call,1.6,0.1616,28-Aug-2025,2025-08-28,0.051587301587301584,4.99270918400606
26750,put,2178.3,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2042.9089720277334
26800,call,1.8,0.1672,28-Aug-2025,2025-08-28,0.051587301587301584,5.524113088128956
26800,put,2085.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2092.767308015169
26850,call,1.75,0.17,28-Aug-2025,2025-08-28,0.051587301587301584,5.421851191506903
26850,put,2276.55,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2142.6256440026045
26900,call,1.9,0.175,28-Aug-2025,2025-08-28,0.051587301587301584,5.825174218652876
26900,put,2125.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2192.4839799900365
26950,call,1.5,0.17370000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,4.84180297059163
26950,put,2379.75,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2242.342315977472
27000,call,1.7,0.1794,28-Aug-2025,2025-08-28,0.051587301587301584,5.368887261705652
27000,put,2310.0,0.2768,28-Aug-2025,2025-08-28,0.051587301587301584,2349.5682597120503
27050,call,1.85,0.1845,28-Aug-2025,2025-08-28,0.051587301587301584,5.785566827904233
27050,put,2327.95,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2342.058987952343
27100,call,1.7,0.18600000000000003,28-Aug-2025,2025-08-28,0.051587301587301584,5.4204179916062
27100,put,2400.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2391.9173239397787
27150,call,1.5,0.1867,28-Aug-2025,2025-08-28,0.051587301587301584,4.924602626411513
27150,put,2559.45,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2441.7756599272143
27200,call,1.65,0.19190000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,5.337035840307635
27200,put,2516.0,0.3075,28-Aug-2025,2025-08-28,0.051587301587301584,2560.812253660726
27250,call,1.55,0.19390000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,5.113419651045319
27250,put,2659.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2541.492331902082
27300,call,1.5,0.19640000000000002,28-Aug-2025,2025-08-28,0.051587301587301584,4.998007555303786
27300,put,2582.0,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2591.3506678895174
27350,call,1.4,0.1981,28-Aug-2025,2025-08-28,0.051587301587301584,4.742969913401964
27350,put,2758.25,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2641.209003876953
27400,call,1.35,0.2005,28-Aug-2025,2025-08-28,0.051587301587301584,4.626664751370015
27400,put,2683.85,0.0,28-Aug-2025,2025-08-28,0.051587301587301584,2691.0673398643885
